Kanji,strokes,grade,freq,jlpt_old,jlpt_new,meanings,readings_on,readings_kun,wk_level,wk_meanings,wk_readings_on,wk_readings_kun,wk_radicals
彊,16,,,,,['Strong'],"['きょう', 'ごう']",['つよ.い'],,,,,
怯,8,,,,,"['Cowardice', 'Wince', 'Flinch', 'Hesitate', 'Waver']","['きょう', 'こう']","['ひる.む', 'おびえ.る', 'おじる', 'おび.える', 'おそ.れる']",,,,,
蕎,15,9.0,,,,['Buckwheat'],['きょう'],['そば'],,,,,
饗,22,9.0,2347.0,,,['Banquet'],['きょう'],"['う.ける', 'もてな.す']",,,,,
尭,8,9.0,2136.0,1.0,1.0,"['High', 'Far']",['ぎょう'],['たか.い'],,,,,
桐,10,9.0,1668.0,1.0,1.0,['Paulownia'],"['とう', 'どう']",['きり'],,,,,
粁,9,,,,,"['Kilometer', '(kokuji)']",[],['キロメートル'],,,,,
僅,12,8.0,,,,['A Wee Bit'],"['きん', 'ごん']",['わず.か'],,,,,
斤,4,8.0,,1.0,1.0,"['Axe', '1.32 Lb', 'Catty', 'Counter For Loaves Of Bread', 'Axe Radical (no. 69)']",['きん'],[],,,,,
欣,8,9.0,2071.0,1.0,1.0,"['Take Pleasure In', 'Rejoice']","['きん', 'ごん', 'こん']","['よろこ.ぶ', 'よろこ.び']",,,,,
欽,12,9.0,2181.0,1.0,1.0,"['Respect', 'Revere', 'Long For']","['きん', 'こん']",['つつし.む'],,,,,
禽,13,9.0,,,,"['Bird', 'Captive', 'Capture']",['きん'],"['とり', 'とりこ']",,,,,
芹,7,9.0,2158.0,1.0,1.0,['Parsley'],['きん'],['せり'],,,,,
衿,9,9.0,,1.0,1.0,"['Neck', 'Collar', 'Lapel']","['きん', 'こん']",['えり'],,,,,
倶,10,,1842.0,,,['Both'],"['ぐ', 'く']",['とも.に'],,,,,
狗,8,,,,,"['Puppy', 'Dog']","['く', 'こう']",['いぬ'],,,,,
玖,7,9.0,,1.0,1.0,"['Beautiful Black Jewel', 'Nine']","['きゅう', 'く']",[],,,,,
矩,10,9.0,2380.0,1.0,,"['Ruler', ""Carpenter's Square""]",['く'],"['かね', 'かねざし', 'さしがね']",,,,,
躯,11,,,,,"['Body', 'Corpse', 'Tree With Rotten Core']",['く'],"['むくろ', 'からだ']",,,,,
駈,15,10.0,,,,"['Run', 'Gallop', 'Advance']",['く'],"['か.ける', 'か.る']",,,,,
虞,13,8.0,,1.0,1.0,"['Fear', 'Uneasiness', 'Anxiety', 'Concern', 'Expectation', 'Consideration']",['ぐ'],"['おそれ', 'おもんぱか.る', 'はか.る', 'うれ.える', 'あざむ.く', 'あやま.る', 'のぞ.む', 'たの.しむ']",,,,,
喰,12,9.0,,,,"['Eat', 'Drink', 'Receive (a Blow)', '(kokuji)']",[],"['く.う', 'く.らう']",,,,,
寓,12,9.0,2330.0,,,"['Temporary Abode', 'Imply', 'Suggest']","['ぐう', 'ぐ', 'どう']","['ぐう.する', 'かこつ.ける', 'よ.せる', 'よ.る', 'かりずまい']",,,,,
串,7,8.0,2139.0,,,"['Spit', 'Skewer']","['かん', 'けん', 'せん']","['くし', 'つらぬ.く']",,,,,
櫛,17,9.0,2256.0,,,['Comb'],['しつ'],"['くし', 'くしけず.る']",,,,,
釧,11,9.0,1751.0,,,['Bracelet'],['せん'],"['くしろ', 'うでわ']",,,,,
屑,10,9.0,,,,"['Rubbish', 'Junk', 'Trash', 'Waste', 'Scraps']",['せつ'],"['くず', 'いさぎよ.い']",,,,,
窟,13,8.0,,,,['Cavern'],"['くつ', 'こつ']","['いわや', 'いはや', 'あな']",,,,,
沓,8,9.0,,,,"['Shoes', 'Boots']",['とう'],['くつ'],,,,,
轡,22,,,,,['Bit (horse)'],['ひ'],"['くつわ', 'たづな']",,,,,
窪,14,9.0,1853.0,,,"['Depression', 'Cave In', 'Sink', 'Become Hollow']","['わ', 'あ']","['くぼ.む', 'くぼ.み', 'くぼ.まる', 'くぼ']",,,,,
隈,12,9.0,2311.0,,,"['Corner', 'Nook', 'Recess']","['わい', 'え']","['くま', 'すみ']",,,,,
粂,9,,,,,"['Used In Proper Names', '(kokuji)']",[],['くめ'],,,,,
栗,10,9.0,1550.0,1.0,1.0,['Chestnut'],"['りつ', 'り']","['くり', 'おののく']",,,,,
鍬,17,9.0,,,,['Hoe With Long Blade At Acute Angle'],"['しょう', 'しゅう']","['くわ', 'すき']",,,,,
薫,16,8.0,1849.0,1.0,1.0,"['Send Forth Fragrance', 'Fragrant', 'Be Scented', 'Smoke (tobacco)']",['くん'],['かお.る'],,,,,
卦,8,,,,,['A Divination Sign'],"['か', 'かい', 'け']",['うらかた'],,,,,
袈,11,9.0,,1.0,1.0,['A Coarse Camlet'],"['け', 'か']",[],,,,,
祁,7,9.0,,,,"['Intense', 'Large']","['き', 'け']",[],,,,,
圭,6,9.0,1837.0,1.0,1.0,"['Square Jewel', 'Corner', 'Angle', 'Edge']","['けい', 'け']",[],,,,,
珪,10,,,,,['Jade Scepter Or Tablet (authority Symbol)'],['けい'],['たま'],,,,,
慧,15,9.0,2168.0,1.0,1.0,['Wise'],"['けい', 'え']",['さとい'],,,,,
桂,10,9.0,1651.0,1.0,1.0,"['Japanese Judas-tree', 'Cinnamon Tree']",['けい'],['かつら'],,,,,
畦,11,,,,,"['Rice Paddy Ridge', 'Furrow', 'Rib']",['けい'],"['あぜ', 'うね']",,,,,
稽,16,8.0,2372.0,,,"['Think', 'Consider']",['けい'],"['かんが.える', 'とど.める']",,,,,
繋,17,,,,,"['Tie', 'Fasten', 'Chain', 'Tether', 'Connect']",['けい'],"['つな.ぐ', 'かか.る', 'か.ける']",,,,,
罫,13,,,,,['Ruled Line'],"['けい', 'かい', 'け']",[],,,,,
荊,9,,,,,"['Thorn', 'Brier', 'Whip']",['けい'],['いばら'],,,,,
詣,13,8.0,,,,"['Visit A Temple', 'Arrive', 'Attain']","['けい', 'げい']","['けい.する', 'まい.る', 'いた.る', 'もう.でる']",,,,,
頚,14,,2470.0,,,"['Neck', 'Head']",['けい'],['くび'],,,,,
戟,12,9.0,,,,"['Halbert', 'Arms']",['げき'],['ほこ'],,,,,
桁,10,8.0,,,,"['Beam', 'Girder', 'Spar', 'Unit Or Column (accounting)']",['こう'],['けた'],,,,,
訣,11,9.0,,,,"['Separation', 'Part', 'Secret']",['けつ'],"['わかれ', 'わかれ.る']",,,,,
倦,11,9.0,,,,"['Lose Interest In', 'Tire Of']",['けん'],"['あき.る', 'あぐ.む', 'あぐ.ねる', 'う.む', 'つか.れる']",,,,,
喧,12,9.0,2249.0,,,"['Noisy', 'Boisterous']",['けん'],"['やかま.しい', 'かまびす.しい']",,,,,
捲,12,9.0,,,,"['Roll', 'Wind', 'Coil', 'Turn Pages', 'Roll Up Sleeves', 'Strip Off', 'Be Turned', 'Be Rolled Up']",['けん'],"['ま.く', 'ま.くる', 'まく.る', 'めく.る', 'まく.れる']",,,,,
牽,11,9.0,,,,"['Pull', 'Tug', 'Drag', 'Lead By Hand']",['けん'],['ひ.く'],,,,,
硯,12,9.0,2500.0,,,['Inkstone'],"['けん', 'げん']",['すずり'],,,,,
鹸,19,,,,,['Saltiness'],"['けん', 'かん', 'せん']",['あ.く'],,,,,
絃,11,9.0,,1.0,1.0,"['String', 'Cord', 'Samisen Music']",['げん'],['いと'],,,,,
舷,11,8.0,,,,['Gunwale'],['げん'],"['ふなばた', 'ふなべり']",,,,,
諺,16,9.0,,,,['Proverb'],['げん'],['ことわざ'],,,,,
乎,5,9.0,,,,"['Question Mark', '?']","['こ', 'お']","['か', 'ああ', 'かな', 'や', 'よ', 'を']",,,,,
姑,8,,2041.0,,,['Mother-in-law'],['こ'],"['しゅうとめ', 'しゅうと', 'おば', 'しばらく']",,,,,
糊,15,9.0,,,,"['Paste', 'Glue', 'Sizing']","['こ', 'ご', 'こつ']",['のり'],,,,,
袴,11,9.0,2175.0,,,"[""Men's Formal Divided Skirt""]","['こ', 'く']","['はかま', 'ずぼん']",,,,,
股,8,8.0,2212.0,,,"['Thigh', 'Crotch']",['こ'],"['また', 'もも']",,,,,
菰,12,,,,,['Reed Used For Matting'],['こ'],"['こも', 'まこも']",,,,,
跨,13,9.0,,,,"['Be', 'Sit Or Stand Astride', 'Extend Over', 'Straddle']","['こ', 'か']","['また.がる', 'またが.る', 'また.ぐ']",,,,,
鈷,13,,,,,['Cobalt'],['こ'],[],,,,,
伍,6,9.0,1881.0,1.0,1.0,"['Five', 'Five-man Squad', 'File', 'Line']",['ご'],['いつつ'],,,,,
梧,11,9.0,,1.0,1.0,"['Chinese Parasol Tree', 'Phoenix Tree']",['ご'],['あおぎり'],,,,,
檎,17,9.0,,,,['Apple'],"['きん', 'ごん', 'ご']",[],,,,,
瑚,13,9.0,,1.0,1.0,"['Ancestral Offering Receptacle', 'Coral']","['こ', 'ご']",[],,,,,
醐,16,9.0,,,,['Boiled Butter'],"['ご', 'こ']",[],,,,,
乞,3,8.0,2478.0,,,"['Beg', 'Invite', 'Ask']","['こつ', 'きつ', 'き', 'きけ', 'こち']",['こ.う'],,,,,
佼,8,,,,,"['Beautiful', 'Clever', 'Deceive', 'Sly']","['きょう', 'こう']","['こう.す', 'うつく.しい']",,,,,
侯,9,8.0,2363.0,1.0,1.0,"['Marquis', 'Lord', 'Daimyo']",['こう'],[],,,,,
倖,10,9.0,,1.0,1.0,"['Happiness', 'Luck']",['こう'],"['しあわ.せ', 'さいわ.い']",,,,,
勾,4,8.0,,,,"['Be Bent', 'Slope', 'Capture']","['こう', 'く']","['かぎ', 'ま.がる']",,,,,
喉,12,8.0,2390.0,,,"['Throat', 'Voice']",['こう'],['のど'],,,,,
垢,9,,,,,"['Dirt', 'Grime', 'Earwax']","['こう', 'く']","['あか', 'はじ']",,,,,
宏,7,9.0,1277.0,1.0,1.0,"['Wide', 'Large']",['こう'],['ひろ.い'],,,,,
巷,9,9.0,2415.0,,,"['Fork In Road', 'Scene', 'Arena', 'Theater']",['こう'],['ちまた'],,,,,
庚,8,9.0,,,,"['7th', '7th Calendar Sign']",['こう'],['かのえ'],,,,,
弘,5,9.0,1059.0,1.0,1.0,"['Vast', 'Broad', 'Wide']","['こう', 'ぐ']",['ひろ.い'],,,,,
慌,12,8.0,1826.0,1.0,,"['Disconcerted', 'Be Confused', ""Lose One's Head""]",['こう'],"['あわ.てる', 'あわ.ただしい']",,,,,
昂,8,9.0,,1.0,1.0,['Rise'],"['こう', 'ごう']","['あ.がる', 'たか.い', 'たか.ぶる']",,,,,
晃,10,9.0,1666.0,1.0,1.0,['Clear'],['こう'],['あきらか'],,,,,
杭,8,9.0,2329.0,,,"['Stake', 'Post', 'Picket']",['こう'],['くい'],,,,,
梗,11,8.0,,,,"['For The Most Part', 'Close Up', 'Flower Stem']","['こう', 'きょう']","['ふさぐ', 'やまにれ', 'おおむね']",,,,,
浩,10,9.0,1149.0,1.0,1.0,"['Wide Expanse', 'Abundance', 'Vigorous']",['こう'],"['おおき.い', 'ひろ.い']",,,,,
糠,17,,,,,['Rice Bran'],['こう'],['ぬか'],,,,,
紘,10,9.0,1685.0,1.0,1.0,['Large'],['こう'],"['おおづな', 'つな', 'つなぐ']",,,,,
肱,8,,,,,"['Ability', 'Talent', 'Elbow', 'Arm']",['こう'],"['かいな', 'ひじ', 'まるい']",,,,,
腔,12,9.0,,,,['Body Cavity'],['こう'],[],,,,,
膏,14,9.0,,,,"['Fat', 'Grease', 'Lard', 'Paste', 'Ointment', 'Plaster']",['こう'],['あぶら'],,,,,
砿,10,,,,,['Ore'],['こう'],['あらがね'],,,,,
閤,14,9.0,,,,['Small Side Gate'],['こう'],['くぐりど'],,,,,
鴻,17,9.0,2111.0,1.0,1.0,"['Large Bird', 'Wild Goose', 'Large', 'Great', 'Powerful', 'Prosperous']","['こう', 'ごう']","['おおとり', 'ひしくい', 'おおがり']",,,,,
劫,7,9.0,,,,"['Threat', 'Long Ages']","['こう', 'ごう', 'きょう']",['おびや.かす'],,,,,
壕,17,9.0,2273.0,,,"['Trench', 'Dugout', 'Air Raid Shelter']","['こう', 'ごう']",['ほり'],,,,,
濠,17,,,,,"['Moat', 'Ditch', 'Canal', 'Australia']","['ごう', 'こう']",['ほり'],,,,,
轟,21,9.0,2438.0,,,"['Roar', 'Thunder', 'Boom Resound']","['ごう', 'こう']","['とどろ.かす', 'とどろ.く']",,,,,
麹,15,,1988.0,,,"['Malt', 'Yeast']",['きく'],['こうじ'],,,,,
鵠,18,,2292.0,,,['Swan'],"['こく', 'こう']","['くぐい', 'まと']",,,,,
漉,14,,,,,"['Manufacture Paper', 'Spread Out Thin', 'Strain', 'Percolate']",['ろく'],"['こ.し', 'こ.す', 'す.く']",,,,,
甑,16,,,,,['Rice-steaming Pot'],"['そう', 'しょう']",['こしき'],,,,,
忽,8,9.0,,,,"['In A Moment', 'Instantly', 'All Of A Sudden', 'Neglect', 'Disregard']",['こつ'],"['たちま.ち', 'ゆるが.せ']",,,,,
惚,11,9.0,2486.0,,,"['Fall In Love With', 'Admire', 'Grow Senile']",['こつ'],"['ほけ.る', 'ぼ.ける', 'ほ.れる']",,,,,
狛,8,,2196.0,,,"['Archaic Part Of Korea', 'Lion-dog Shrine Guards']",['はく'],['こま'],,,,,
此,6,9.0,2078.0,,,"['This', 'Current', 'Next', 'Coming', 'Last', 'Past']",['し'],"['これ', 'この', 'ここ']",,,,,
坤,8,,,,,"['Divination Sign', 'Land', 'Earth']",['こん'],"['つち', 'ひつじさる']",,,,,
墾,16,8.0,,1.0,1.0,"['Ground-breaking', 'Open Up Farmland']",['こん'],"['は.る', 'ひら.く']",,,,,
昏,8,9.0,,,,"['Dark', 'Evening', 'Dusk']",['こん'],"['くら.い', 'くれ']",,,,,
梱,11,,,,,"['Pack', 'Tie Up', 'Bale']",['こん'],"['こう.る', 'こうり', 'こり', 'しきみ']",,,,,
痕,11,8.0,1958.0,,,"['Mark', 'Foot Print']",['こん'],['あと'],,,,,
艮,6,,,,,"['Northeast (oriental Zodiac)', 'Stopping', 'Good Radical (no. 138)']","['こん', 'ごん']",['うしとら'],,,,,
些,8,9.0,,,,"['A Little Bit', 'Sometimes']","['さ', 'しゃ']","['ち.と', 'ち.っと', 'いささか']",,,,,
叉,3,9.0,,,,"['Fork In Road', 'Crotch']","['さ', 'しゃ', 'さい']",['また'],,,,,
嵯,13,9.0,2191.0,1.0,1.0,"['Steep', 'Craggy', 'Rugged']","['さ', 'し']",[],,,,,
瑳,14,9.0,,1.0,1.0,"['Polish', 'Brilliant White Luster Of A Gem', 'Artful Smile']",['さ'],['みが.く'],,,,,
裟,13,9.0,,1.0,1.0,['Buddhist Surplice'],"['さ', 'しゃ']",[],,,,,
坐,7,9.0,2337.0,,,['Sit'],"['ざ', 'さ']","['すわ.る', 'おわす', 'そぞろに', 'まします']",,,,,
挫,10,8.0,1869.0,,,"['Crush', 'Break', 'Sprain', 'Discourage']","['ざ', 'さ']","['くじ.く', 'くじ.ける']",,,,,
塞,13,8.0,,,,"['Close', 'Shut', 'Cover', 'Block', 'Obstruct']","['そく', 'さい']","['ふさ.ぐ', 'とりで', 'み.ちる']",,,,,
采,8,8.0,,1.0,1.0,"['Dice', 'Form', 'Appearance', 'Take', 'Gather', 'Coloring']",['さい'],"['と.る', 'いろどり']",,,,,
犀,12,9.0,2426.0,,,['Rhinocerous'],"['さい', 'せい']",[],,,,,
砦,11,9.0,2304.0,,,"['Fort', 'Stronghold', 'Entrenchments']",['さい'],['とりで'],,,,,
冴,7,9.0,2341.0,1.0,1.0,"['Be Clear', 'Serene', 'Cold', 'Skilful']","['ご', 'こ']","['さ.える', 'こお.る', 'ひ.える']",,,,,
堺,12,9.0,1846.0,,,['World'],['かい'],['さかい'],,,,,
榊,13,9.0,2094.0,,,"['Sacred Shinto Tree', '(kokuji)']",[],['さかき'],,,,,
肴,8,9.0,,,,['Accompaniment For Drinks'],['こう'],['さかな'],,,,,
碕,13,,,,,"['Cape', 'Spit', 'Promontory']",['き'],"['さき', 'さい', 'みさき']",,,,,
鷺,24,9.0,2172.0,,,['Heron'],['ろ'],['さぎ'],,,,,
咋,8,,,,,"['Shout', 'Chew', 'Eat']","['さく', 'さ']","['か.む', 'く.う', 'くら.う']",,,,,
朔,10,9.0,2318.0,1.0,1.0,"['Conjunction (astronomy)', 'First Day Of Month', 'North']",['さく'],['ついたち'],,,,,
柵,9,8.0,,,,"['Stockade', 'Fence', 'Weir', 'Entwine Around']","['さく', 'さん']","['しがら.む', 'しがらみ', 'とりで', 'やらい']",,,,,
窄,10,9.0,,,,"['Narrow', 'Fold', 'Furl', 'Shrug', 'Pucker', 'Shut', 'Close']",['さく'],"['すぼ.める', 'つぼ.める', 'せま.い']",,,,,
鮭,17,,2477.0,,,['Salmon'],"['かい', 'けい']","['さけ', 'しゃけ', 'ふぐ']",,,,,
笹,11,9.0,1743.0,1.0,1.0,"['Bamboo Grass', '(kokuji)']",[],['ささ'],,,,,
匙,11,,,,,['Spoon'],['し'],['さじ'],,,,,
拶,9,8.0,,,,"['Be Imminent', 'Draw Close']",['さつ'],['せま.る'],,,,,
薩,17,9.0,1984.0,,,"['Salvation', 'Buddha']","['さつ', 'さち']",[],,,,,
皐,11,9.0,2240.0,1.0,1.0,"['Swamp', 'Shore']",['こう'],['さつき'],,,,,
鯖,19,,,,,['Mackerel'],"['せい', 'しょう']",['さば'],,,,,
捌,10,,,,,"['Handle', 'Deal With', 'Dispose Of', 'Sell', 'Be In Demand', 'Be Worldly', 'Be Frank', 'Be Sensible', 'Be Sociable', 'Drainage', 'Sale', 'Demand For', 'Eight']","['はつ', 'はち', 'べつ']","['さば.く', 'さば.ける', 'は.け']",,,,,
錆,16,9.0,,,,"['Rust', 'Tarnish']","['しょう', 'せい']","['さび', 'くわ.しい']",,,,,
鮫,17,,2244.0,,,['Shark'],['こう'],"['さめ', 'みずち']",,,,,
晒,10,9.0,,,,"['Bleach', 'Refine', 'Expose', 'Air']","['さい', 'し']","['さら.す', 'さらし']",,,,,
撒,15,9.0,,,,"['Scatter', 'Sprinkle', 'Give Them The Slip']","['さん', 'さつ']",['ま.く'],,,,,
燦,17,9.0,,1.0,1.0,['Brilliant'],['さん'],"['さん.たる', 'あき.らか', 'きらめ.く', 'きら.めく']",,,,,
珊,9,9.0,,,,"['Coral', 'Centimeter']",['さん'],"['センチ', 'さんち']",,,,,
纂,20,9.0,,,,"['Editing', 'Compiling']",['さん'],['あつ.める'],,,,,
蚕,10,6.0,2272.0,1.0,1.0,['Silkworm'],"['さん', 'てん']","['かいこ', 'こ']",,,,,
讃,22,9.0,2179.0,,,"['Praise', 'Title On A Picture']",['さん'],"['ほ.める', 'たた.える']",,,,,
餐,16,,,,,"['Eat', 'Drink', 'Swallow']","['さん', 'そん']","['の.む', 'くら.う']",,,,,
仔,5,9.0,,,,"['Offspring (animal)', 'Detailed', 'Fine']",['し'],"['こ', 'た.える']",,,,,
嗣,13,8.0,2310.0,1.0,1.0,"['Heir', 'Succeed']",['し'],[],,,,,
屍,9,,,,,['Corpse'],['し'],['しかばね'],,,,,
孜,7,9.0,1457.0,,,['Industriousness'],['し'],['つと.める'],,,,,
斯,12,9.0,,,,"['This', 'Thus', 'Such', 'Verbal Pause']",['し'],"['か', 'こう', 'か.く', 'この', 'これ', 'ここに']",,,,,
獅,13,9.0,1914.0,,,['Lion'],['し'],['しし'],,,,,
肢,8,8.0,2289.0,1.0,1.0,"['Limb', 'Arms & Legs']",['し'],[],,,,,
賜,15,8.0,2190.0,1.0,1.0,"['Grant', 'Gift', 'Boon', 'Results']",['し'],"['たまわ.る', 'たま.う', 'たも.う']",,,,,
爾,14,9.0,,1.0,1.0,"['You', 'Thou', 'Second Person']","['じ', 'に']","['なんじ', 'しかり', 'その', 'のみ', 'おれ', 'しか']",,,,,
璽,19,8.0,,1.0,,"[""Emperor's Seal""]",['じ'],[],,,,,
痔,11,,,,,"['Piles', 'Hemorrhoids']","['ぢ', 'じ']",['しもがさ'],,,,,
而,6,9.0,,,,"['And Yet', 'And Then', 'But', 'However', 'Nevertheless']","['じ', 'に']","['しこ.うして', 'しか.して', 'しか.も', 'しか.れども', 'すなわち', 'なんじ', 'しかるに']",,,,,
蒔,13,9.0,2368.0,1.0,1.0,['Sow (seeds)'],"['し', 'じ']","['う.える', 'ま.く']",,,,,
汐,6,9.0,2314.0,1.0,1.0,"['Eventide', 'Tide', 'Salt Water', 'Opportunity']",['せき'],"['しお', 'うしお', 'せい']",,,,,
鴫,16,,,,,"['Snipe', '(kokuji)']",[],['しぎ'],,,,,
竺,8,9.0,,,,['Bamboo'],"['じく', 'ちく', 'とく']",[],,,,,
宍,7,,2269.0,,,"['Muscles', 'Meat']","['にく', 'じく']",['しし'],,,,,
雫,11,9.0,2219.0,,,"['Drop', 'Trickle', 'Dripping', '(kokuji)']",['だ'],['しずく'],,,,,
嫉,13,8.0,2317.0,,,"['Jealous', 'Envy']",['しつ'],"['そね.む', 'ねた.む', 'にく.む']",,,,,
悉,11,9.0,,,,"['All', 'Entirely', 'Altogether', 'Completely', 'Use Up', 'Run Out Of', 'Exhaust', 'Befriend', 'Serve']","['しつ', 'しち']","['つ.きる', 'ことごと', 'ことごと.く', 'つ.くす', 'つぶさ.に']",,,,,
蔀,14,,,,,['Latticed Shutters'],"['ほう', 'だ', 'だん', 'ぶ']",['しとみ'],,,,,
篠,17,9.0,1556.0,,,['Bamboo Grass'],"['ぞう', 'しょう']","['しの', 'ささ', 'すず']",,,,,
偲,11,9.0,2350.0,1.0,1.0,"['Recollect', 'Remember']","['さい', 'し']",['しの.ぶ'],,,,,
屡,12,,,,,"['Often', 'Frequently']",['る'],['しばしば'],,,,,
蕊,15,,,,,"['Pistil', 'Stamen']",['ずい'],['しべ'],,,,,
縞,16,9.0,2491.0,,,['Stripe'],['こう'],"['しま', 'しろぎぬ']",,,,,
紗,10,9.0,,1.0,1.0,"['Gauze', 'Gossamer']","['さ', 'しゃ']",['うすぎぬ'],,,,,
勺,3,9.0,,1.0,1.0,"['Ladle', 'One Tenth Of A Go', 'Dip']",['しゃく'],[],,,,,
杓,7,,,,,"['Ladle', 'Scoop']","['しゃく', 'ちょう', 'てき', 'ひょう']",['ひしゃく'],,,,,
灼,7,9.0,,,,['Miraculous'],['しゃく'],"['あらた', 'やく']",,,,,
爵,17,8.0,,1.0,1.0,"['Baron', 'Peerage', 'Court Rank']",['しゃく'],[],,,,,
錫,16,9.0,2095.0,,,"['Copper', 'Tin']","['せき', 'しゃく']","['すず', 'たま.う']",,,,,
惹,12,9.0,,,,"['Attract', 'Captivate']","['じゃく', 'じゃ']",['ひ.く'],,,,,
腫,13,8.0,2145.0,,,"['Tumor', 'Swelling']","['しゅ', 'しょう']","['は.れる', 'は.れ', 'は.らす', 'く.む', 'はれもの']",,,,,
儒,16,8.0,2162.0,1.0,1.0,['Confucian'],['じゅ'],[],,,,,
綬,14,,,,,['Ribbon'],['じゅ'],['ひも'],,,,,
愁,13,8.0,2171.0,1.0,1.0,"['Distress', 'Grieve', 'Lament', 'Be Anxious']",['しゅう'],"['うれ.える', 'うれ.い']",,,,,
洲,9,9.0,1979.0,1.0,1.0,"['Continent', 'Sandbar', 'Island', 'Country']","['しゅう', 'す']",['しま'],,,,,
繍,17,,,,,"['Sew', 'Figured Cloth']",['しゅう'],['ぬいとり'],,,,,
蒐,13,9.0,,,,['Gather'],['しゅう'],"['あかね', 'あつ.まる', 'あつ.める']",,,,,
讐,23,,,,,"['Enemy', 'Revenge']",['しゅう'],"['あだ', 'むく.いる', 'あ.たる']",,,,,
蹴,19,8.0,2377.0,,,['Kick'],"['しゅく', 'しゅう']",['け.る'],,,,,
輯,16,9.0,,,,"['Gather', 'Collect', 'Compile']",['しゅう'],"['あつ.める', 'やわ.らぐ']",,,,,
酋,9,,,,,['Chieftain'],"['しゅう', 'じゅ']","['おさ', 'ふるざけ', 'さけのつかさ']",,,,,
什,4,,,,,"['Utensil', 'Thing', 'Ten']","['じゅう', 'しゅう']",[],,,,,
戎,6,,,,,"['Warrior', 'Arms', 'Barbarian', 'Ainu']",['じゅう'],"['えびす', 'つわもの']",,,,,
夙,6,,,,,"['Bright And Early', 'Long Ago', 'Early In Life']",['しゅく'],"['つとに', 'はやい']",,,,,
峻,10,9.0,1997.0,1.0,1.0,"['High', 'Steep']",['しゅん'],"['けわ.しい', 'たか.い']",,,,,
竣,12,9.0,,1.0,1.0,"['End', 'Finish']","['どう', 'しゅん']","['わらわ', 'わらべ', 'おわ.る']",,,,,
舜,13,9.0,2384.0,1.0,1.0,"['Type Of Morning Glory', 'Rose Of Sharon', 'Althea']",['しゅん'],[],,,,,
楯,13,9.0,,,,"['Shield', 'Buckler', 'Pretext']",['じゅん'],['たて'],,,,,
淳,11,9.0,1629.0,1.0,1.0,['Pure'],"['じゅん', 'しゅん']",['あつ.い'],,,,,
遵,15,8.0,,1.0,1.0,"['Abide By', 'Follow', 'Obey', 'Learn']",['じゅん'],[],,,,,
醇,15,9.0,,1.0,,"[""Pure Sake'"", 'Purity', 'Affection']","['じゅん', 'しゅん']","['もっぱら', 'こい', 'あつい']",,,,,
渚,11,9.0,2226.0,1.0,1.0,"['Strand', 'Beach', 'Shore']",['しょ'],['なぎさ'],,,,,
薯,16,,,,,['Potato'],['しょ'],['いも'],,,,,
藷,18,,,,,['Potato'],"['しょ', 'じょ']",['いも'],,,,,
恕,10,9.0,,1.0,1.0,"['Excuse', 'Tolerate', 'Forgive']","['じょ', 'しょ']",['ゆる.す'],,,,,
鋤,15,,,,,"['Spade Up', 'Plow']","['じょ', 'しょ', 'そ']","['す.く', 'すき', 'くわ']",,,,,
哨,10,9.0,1999.0,,,"['Scout', 'Sentinel']",['しょう'],['みはり'],,,,,
嘗,14,9.0,,,,"['Once', 'Before', 'Formerly', 'Ever', 'Never', 'Ex-', 'Lick', 'Lap Up', 'Burn Up', 'Taste', 'Undergo', 'Underrate', 'Despise']","['しょう', 'じょう']","['かつ.て', 'こころ.みる', 'な.める']",,,,,
妾,8,,,,,['Concubine'],['しょう'],"['めかけ', 'そばめ', 'わらわ']",,,,,
娼,11,,2242.0,,,['Prostitute'],['しょう'],['あそびめ'],,,,,
宵,10,8.0,2262.0,1.0,1.0,"['Wee Hours', 'Evening', 'Early Night']",['しょう'],['よい'],,,,,
廠,15,,,,,['Workshop'],['しょう'],[],,,,,
抄,7,8.0,2328.0,1.0,1.0,"['Extract', 'Selection', 'Summary', 'Copy', 'Spread Thin']",['しょう'],[],,,,,
捷,11,9.0,,1.0,1.0,"['Victory', 'Fast']","['しょう', 'そう']",['はや.い'],,,,,
梢,11,9.0,,1.0,1.0,"['Treetops', 'Twig']",['しょう'],"['こずえ', 'くすのき']",,,,,
樟,15,9.0,2252.0,,,['Camphor'],['しょう'],['くす'],,,,,
樵,16,,,,,"['Woodcutting', 'Lumberjack']",['しょう'],"['きこ.る', 'こ.る', 'きこり']",,,,,
湘,12,9.0,1909.0,,,"['Name Of Chinese River', 'The Sagami River']",['しょう'],[],,,,,
硝,12,8.0,2154.0,1.0,1.0,"['Nitrate', 'Saltpeter']",['しょう'],[],,,,,
菖,11,9.0,,1.0,1.0,['Iris'],['しょう'],[],,,,,
蒋,13,,2251.0,,,['Reed'],"['しょう', 'そう']","['まこも', 'はげ.ます']",,,,,
蕉,15,9.0,2033.0,1.0,1.0,"['Banana', 'Plantain']",['しょう'],[],,,,,
裳,14,9.0,,,,['Skirt'],['しょう'],"['も', 'もすそ']",,,,,
詔,12,8.0,2239.0,1.0,1.0,['Imperial Edict'],['しょう'],['みことのり'],,,,,
鉦,13,,,,,"['Bell', 'Gong', 'Chimes']","['せい', 'しょう']",['かね'],,,,,
