kanji;strokes;grade;freq;jlpt_old;jlpt_new;meanings;readings_on;readings_kun;wk_level;wk_meanings;wk_readings_on;wk_readings_kun;wk_radicals
間;12;2;33;4;5;[Interval, Space];[かん, けん];[あいだ, ま, あい];8;[Interval, Interval Of Time, Time Interval];[かん, けん];[あいだ, ま];[Gate, Sun];;;;
対;7;3;34;2;3;[Vis-a-vis, Opposite, Even, Equal, Versus, Anti-, Compare];[たい, つい];[あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う];8;[Versus, Opposite];[たい];[];[Writing, Measurement];;;;
上;3;1;35;4;5;[Above, Up];[じょう, しょう, しゃん];[うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る];1;[Above, Up, Over];[じょう];[うえ, あ, のぼ, うわ, かみ];[Toe, Ground];;;;
部;11;3;36;2;3;[Section, Bureau, Dept, Class, Copy, Part, Portion, Counter For Copies Of A Newspaper Or Magazine];[ぶ];[-べ];9;[Part, Department, Club];[ぶ];[へ];[Clown, Building];;;;
東;8;2;37;4;5;[East];[とう];[ひがし];6;[East];[とう];[ひがし];[Tree, Sun];;;;
者;8;3;38;3;4;[Someone, Person];[しゃ];[もの];8;[Someone, Somebody];[しゃ];[もの];[Coffin, Sun];;;;
党;10;6;39;2;2;[Party, Faction, Clique];[とう];[なかま, むら];32;[Group];[とう];[];[Viking, Older Brother];;;;
地;6;2;40;3;4;[Ground, Earth];[ち, じ];[];6;[Earth, Ground];[ち, じ];[];[Dirt, Alligator];;;;
合;6;2;41;3;3;[Fit, Suit, Join, 0.1];[ごう, がっ, かっ];[あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる];12;[Suit, Fit, Join];[ごう, がっ];[あ, あい];[Suit];;;;
市;5;2;42;3;3;[Market, City, Town];[し];[いち];3;[City];[し];[いち];[Lid, Towel];;;;
業;13;3;43;3;4;[Business, Vocation, Arts, Performance];[ぎょう, ごう];[わざ];10;[Business];[ぎょう];[];[Spikes, Sheep, Fins];;;;
内;4;2;44;2;3;[Inside, Within, Between, Among, House, Home];[ない, だい];[うち];3;[Inside, Within];[ない];[うち];[Head, Person];;;;
相;9;3;45;2;3;[Inter-, Mutual, Together, Each Other, Minister Of State, Councillor, Aspect, Phase, Physiognomy];[そう, しょう];[あい-];9;[Mutual];[そう, しょう];[あい];[Tree, Eye];;;;
方;4;2;46;3;4;[Direction, Person, Alternative];[ほう];[かた, -かた, -がた];3;[Direction, Way];[ほう];[かた];[Direction];;;;
四;5;1;47;4;5;[Four];[し];[よ, よ.つ, よっ.つ, よん];2;[Four];[し];[よん, よ];[Mouth, Legs];;;;
定;8;3;48;2;3;[Determine, Fix, Establish, Decide];[てい, じょう];[さだ.める, さだ.まる, さだ.か];9;[Determine];[てい, じょう];[さだ];[Roof, Correct];;;;
今;4;2;49;4;5;[Now];[こん, きん];[いま];3;[Now];[こん];[いま];[Now];;;;
回;6;2;50;3;3;[-times, Round, Game, Revolve, Counter For Occurrences];[かい, え];[まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える];5;[Times, Revolve];[かい];[まわ];[Mouth];;;;
新;13;2;51;4;4;[New];[しん];[あたら.しい, あら.た, あら-, にい-];9;[New];[しん];[あたら, あら, にい];[Stand, Tree, Axe];;;;
場;12;2;52;3;4;[Location, Place];[じょう, ちょう];[ば];8;[Location, Place];[じょう];[ば];[Dirt, Easy];;;;
金;8;1;53;4;5;[Gold];[きん, こん, ごん];[かね, かな-, -がね];5;[Gold];[きん];[かね];[Gold];;;;
員;10;3;54;3;4;[Employee, Member, Number, The One In Charge];[いん];[];12;[Member];[いん];[];[Mouth, Shellfish];;;;
九;2;1;55;4;5;[Nine];[きゅう, く];[ここの, ここの.つ];1;[Nine];[く, きゅう];[ここの];[Nine];;;;
入;2;1;56;4;5;[Enter, Insert];[にゅう, じゅ];[い.る, -い.る, -い.り, い.れる, -い.れ, はい.る];1;[Enter];[にゅう];[はい, い];[Enter];;;;
選;15;4;57;2;3;[Elect, Select, Choose, Prefer];[せん];[えら.ぶ];13;[Choose];[せん];[えら];[Scooter, Oneself, Together];;;;
立;5;1;58;4;4;[Stand Up, Rise, Set Up, Erect];[りつ, りゅう, りっとる];[た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる];2;[Stand];[りつ, りゅう];[た];[Stand];;;;
開;12;3;59;3;4;[Open, Unfold, Unseal];[かい];[ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける];10;[Open];[かい];[あ, ひら];[Gate, Lantern];;;;
手;4;1;60;4;4;[Hand];[しゅ, ず];[て, て-, -て, た-];2;[Hand];[しゅ];[て];[Hand];;;;
米;6;2;61;2;3;[Rice, Usa, Metre];[べい, まい, めえとる];[こめ, よね];5;[Rice, America];[べい, まい];[こめ];[Rice];;;;
力;2;1;62;3;4;[Power, Strength, Strong, Strain, Bear Up, Exert];[りょく, りき, りい];[ちから];1;[Power, Strength];[りょく, りき];[ちから];[Power];;;;
学;8;1;63;4;5;[Study, Learning, Science];[がく];[まな.ぶ];5;[Study, Learn, Learning];[がく];[まな];[Viking, Child];;;;
問;11;3;64;3;4;[Question, Ask, Problem];[もん];[と.う, と.い, とん];13;[Problem];[もん];[と, とん];[Gate, Mouth];;;;
高;10;2;65;4;5;[Tall, High, Expensive];[こう];[たか.い, たか, -だか, たか.まる, たか.める];7;[Tall, Expensive, High];[こう];[たか];[Lid, Mouth, Mustache];;;;
代;5;3;66;3;4;[Substitute, Change, Convert, Replace, Period, Age, Counter For Decades Of Ages, Eras,, Etc., Generation, Charge, Rate, Fee],;[だい, たい];[か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ];4;[Substitute, Replace, Period, Age];[だい];[か, かわ, しろ];[Leader, Ceremony];;
明;8;2;67;3;4;[Bright, Light];[めい, みょう, みん];[あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす];6;[Bright];[めい];[あ, あか, あき];[Sun, Moon];;;;
実;8;3;68;2;3;[Reality, Truth];[じつ, しつ];[み, みの.る, まこと, みの, みち.る];9;[Truth, Reality];[じつ];[み];[Roof, Spring];;;;
円;4;1;69;4;5;[Circle, Yen, Round];[えん];[まる.い, まる, まど, まど.か, まろ.やか];2;[Yen, Round, Circle];[えん];[まる];[Lid, Head];;;;
関;14;4;70;2;3;[Connection, Barrier, Gateway, Involve, Concerning];[かん];[せき, -ぜき, かか.わる, からくり, かんぬき];16;[Related, Connected];[かん];[かか, せき];[Gate, Horns, Heaven];;;;
決;7;3;71;2;3;[Decide, Fix, Agree Upon, Appoint];[けつ];[き.める, -ぎ.め, き.まる, さ.く];8;[Decide, Decision];[けつ];[き];[Tsunami, Person, Hook];;;;
子;3;1;72;4;5;[Child, Sign Of The Rat, 11pm-1am, First Sign Of Chinese Zodiac];[し, す, つ];[こ, -こ, ね];2;[Child, Kid];[し, す];[こ];[Child];;;;
動;11;3;73;3;4;[Move, Motion, Change, Confusion, Shift, Shake];[どう];[うご.く, うご.かす];12;[Move];[どう];[うご];[Heavy, Power];;;;
京;8;2;74;3;4;[Capital, 10**16];[きょう, けい, きん];[みやこ];6;[Capital];[きょう];[みやこ];[Lid, Mouth, Small];;;;
全;6;3;75;2;3;[Whole, Entire, All, Complete, Fulfill];[ぜん];[まった.く, すべ.て];6;[All, Whole];[ぜん];[すべ, まった];[Hat, King];;;;
目;5;1;76;4;4;[Eye, Class, Look, Insight, Experience, Care, Favor];[もく, ぼく];[め, -め, ま-];2;[Eye];[もく];[め];[Eye];;;;
表;8;3;77;2;3;[Surface, Table, Chart, Diagram];[ひょう];[おもて, -おもて, あらわ.す, あらわ.れる, あら.わす];9;[Express];[ひょう];[あらわ, おもて];[Life, Kick];;;;
戦;13;4;78;2;3;[War, Battle, Match];[せん];[いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く];11;[War, Battle];[せん];[たたか];[Simple, Drunkard];;;;
経;11;5;79;2;3;[Sutra, Longitude, Pass Thru, Expire, Warp];[けい, きょう, きん];[へ.る, た.つ, たていと, はか.る, のり];20;[Passage of Time, Pass Through, Manage];[けい];[た, へ];[Thread, Tombstone];;;;
